,Legend,Variable,Importance
0,TST Importances,Bands,0.0010667421331744017
1,TST Importances,Bands,0.001143359475878203
2,TST Importances,Bands,0.0013343417866039358
3,TST Importances,Bands,0.0009356126548153595
4,TST Importances,Bands,0.0010750858774837345
5,TST Importances,Bands,0.0010577910582465159
6,TST Importances,Bands,0.0011727744189196003
7,TST Importances,Bands,0.0010216059503759937
8,TST Importances,Bands,0.001154003340520036
9,TST Importances,Bands,0.0011364822164777206
10,TST Importances,Bands,0.0011957270224147195
11,TST Importances,Bands,0.0011181299372612962
12,TST Importances,Bands,0.00118927381837836
13,TST Importances,Bands,0.0010288025545223804
14,TST Importances,Bands,0.0010837506773881448
15,TST Importances,Bands,0.0009388529872656263
16,TST Importances,Bands,0.0011487679511627648
17,TST Importances,Bands,0.0009183724723495155
18,TST Importances,Bands,0.0011527957389728255
19,TST Importances,Bands,0.0009616912759134035
20,TST Importances,Bands,0.0010341782972838399
21,TST Importances,Bands,0.000539151231448771
22,TST Importances,Bands,0.0011687156769558242
23,TST Importances,Bands,0.0010329121778846705
24,TST Importances,Bands,0.0011933036345443482
25,TST Importances,Bands,0.001066504146616657
26,TST Importances,Bands,0.0011008331759315496
27,TST Importances,Bands,0.0011459140939787894
28,TST Importances,Bands,0.0011270977746649993
29,TST Importances,Bands,0.0011250984235723872
30,TST Importances,Bands,0.0009212009359784514
31,TabNet Importances,Bands,0.00014209581600544685
32,TabNet Importances,Bands,2.747311670292549e-05
33,TabNet Importances,Bands,9.562342153413123e-06
34,TabNet Importances,Bands,7.841184451463841e-06
35,TabNet Importances,Bands,1.7275191280208096e-05
36,TabNet Importances,Bands,3.621032409159807e-05
37,TabNet Importances,Bands,6.205000137942268e-05
38,TabNet Importances,Bands,1.0789084964385258e-06
39,TabNet Importances,Bands,0.00017221539731179924
40,TabNet Importances,Bands,2.2282612876550723e-05
41,TabNet Importances,Bands,0.00016064751296256225
42,TabNet Importances,Bands,2.044617466950177e-05
43,TabNet Importances,Bands,1.9837259663366892e-05
44,TabNet Importances,Bands,0.0001801652105156682
45,TabNet Importances,Bands,2.269752044274468e-06
46,TabNet Importances,Bands,7.802736920220782e-06
47,TabNet Importances,Bands,0.00010912334345922087
48,TabNet Importances,Bands,7.883149209229617e-05
49,TabNet Importances,Bands,1.7559166011788686e-05
50,TabNet Importances,Bands,4.071659759307219e-06
51,TabNet Importances,Bands,-0.0001543443648353401
52,TabNet Importances,Bands,0.00015608577685821673
53,TabNet Importances,Bands,6.3301303416868484e-06
54,TabNet Importances,Bands,-0.00034078705669513465
55,TabNet Importances,Bands,1.869310283145094e-06
56,TabNet Importances,Bands,7.050601590477949e-06
57,TabNet Importances,Bands,0.0003807546762075421
58,TabNet Importances,Bands,1.7663221412218946e-05
59,TabNet Importances,Bands,4.9928483334064876e-05
60,TabNet Importances,Bands,2.879277453401998e-05
61,TabNet Importances,Bands,0.00015078086480808464
62,TST Importances,Nucleated Red Cells,0.00033738077115718306
63,TST Importances,Nucleated Red Cells,0.0003947268801624584
64,TST Importances,Nucleated Red Cells,0.0004984089197858789
65,TST Importances,Nucleated Red Cells,0.0003031231608306772
66,TST Importances,Nucleated Red Cells,0.0003574479175304392
67,TST Importances,Nucleated Red Cells,0.0003936811530654135
68,TST Importances,Nucleated Red Cells,0.00040571676230386064
69,TST Importances,Nucleated Red Cells,0.0003745012131616437
70,TST Importances,Nucleated Red Cells,0.000360383158375808
71,TST Importances,Nucleated Red Cells,0.00037633221018240767
72,TST Importances,Nucleated Red Cells,0.00040147997785768864
73,TST Importances,Nucleated Red Cells,0.00033236797237186507
74,TST Importances,Nucleated Red Cells,0.00042651065909182133
75,TST Importances,Nucleated Red Cells,0.0003057237528396418
76,TST Importances,Nucleated Red Cells,0.00035998436327664476
77,TST Importances,Nucleated Red Cells,0.00033119642256236934
78,TST Importances,Nucleated Red Cells,0.00038628271327683365
79,TST Importances,Nucleated Red Cells,0.00030682115838761247
80,TST Importances,Nucleated Red Cells,0.00043146527919720064
81,TST Importances,Nucleated Red Cells,0.0003401376650774773
82,TST Importances,Nucleated Red Cells,0.000355380331182167
83,TST Importances,Nucleated Red Cells,0.0002337383255644229
84,TST Importances,Nucleated Red Cells,0.0003588636951120618
85,TST Importances,Nucleated Red Cells,0.0003184083133807328
86,TST Importances,Nucleated Red Cells,0.00040769300192279964
87,TST Importances,Nucleated Red Cells,0.0004009314777957687
88,TST Importances,Nucleated Red Cells,0.0003776069610767869
89,TST Importances,Nucleated Red Cells,0.00039907487038107333
90,TST Importances,Nucleated Red Cells,0.00040596140350054264
91,TST Importances,Nucleated Red Cells,0.00037616292922108905
92,TST Importances,Nucleated Red Cells,0.0003007328674493473
93,TabNet Importances,Nucleated Red Cells,9.41995029216205e-06
94,TabNet Importances,Nucleated Red Cells,-2.4623790580464207e-05
95,TabNet Importances,Nucleated Red Cells,-3.248788498687615e-05
96,TabNet Importances,Nucleated Red Cells,-2.3591083502333837e-05
97,TabNet Importances,Nucleated Red Cells,-1.1120312925438566e-05
98,TabNet Importances,Nucleated Red Cells,-2.9523048066773606e-05
99,TabNet Importances,Nucleated Red Cells,-5.3506555895007894e-05
100,TabNet Importances,Nucleated Red Cells,-1.0968689871297008e-05
101,TabNet Importances,Nucleated Red Cells,-0.0001417322196764864
102,TabNet Importances,Nucleated Red Cells,5.155030673242741e-07
103,TabNet Importances,Nucleated Red Cells,-0.00014393640852716644
104,TabNet Importances,Nucleated Red Cells,4.287370114384573e-06
105,TabNet Importances,Nucleated Red Cells,-2.129738655197325e-05
106,TabNet Importances,Nucleated Red Cells,-0.00012575267036586324
107,TabNet Importances,Nucleated Red Cells,4.9069632603815374e-06
108,TabNet Importances,Nucleated Red Cells,-1.428605724017404e-05
109,TabNet Importances,Nucleated Red Cells,-9.152113350898297e-05
110,TabNet Importances,Nucleated Red Cells,-6.897406688887105e-05
111,TabNet Importances,Nucleated Red Cells,-1.622266729526435e-05
112,TabNet Importances,Nucleated Red Cells,-6.547258865647832e-06
113,TabNet Importances,Nucleated Red Cells,-1.6780526530665075e-05
114,TabNet Importances,Nucleated Red Cells,-0.00014981674794038117
115,TabNet Importances,Nucleated Red Cells,-1.0175816610517734e-05
116,TabNet Importances,Nucleated Red Cells,1.8254990594119358e-05
117,TabNet Importances,Nucleated Red Cells,-2.8108506061194898e-05
118,TabNet Importances,Nucleated Red Cells,-6.867015368402048e-06
119,TabNet Importances,Nucleated Red Cells,-0.00011857373784027513
120,TabNet Importances,Nucleated Red Cells,-1.3532662364857842e-05
121,TabNet Importances,Nucleated Red Cells,-4.459651808478537e-05
122,TabNet Importances,Nucleated Red Cells,-2.2643871490284438e-05
123,TabNet Importances,Nucleated Red Cells,-0.00015042787895164933
124,TST Importances,peep,-0.0006805551935077376
125,TST Importances,peep,-0.0007276025965315785
126,TST Importances,peep,-0.0008257508078467613
127,TST Importances,peep,-0.000536180407204347
128,TST Importances,peep,-0.0008375369955276247
129,TST Importances,peep,-0.0008174803271138505
130,TST Importances,peep,-0.0007211191794152315
131,TST Importances,peep,-0.0006439761334019581
132,TST Importances,peep,-0.0008892213229637722
133,TST Importances,peep,-0.0007579200355457116
134,TST Importances,peep,-0.0007787970045405678
135,TST Importances,peep,-0.0010397082958763853
136,TST Importances,peep,-0.0007265002094658829
137,TST Importances,peep,-0.000590963474107433
138,TST Importances,peep,-0.0008334433941740133
139,TST Importances,peep,-0.0005704631498001438
140,TST Importances,peep,-0.000647452338721391
141,TST Importances,peep,-0.0006470036150051907
142,TST Importances,peep,-0.0007860336238591342
143,TST Importances,peep,-0.0007214445495338025
144,TST Importances,peep,-0.0005704429663322127
145,TST Importances,peep,-0.0004136694273539012
